komentar_preprocessing,label,Nomor
top notch action power romantic drama,positive,1724
playing role almost bergmanesque intensity bisset convincing radiant,positive,1725
simplicity put exclamation point fact something taken seriously also wreck chance movie rising similar fare,negative,1726
absurdist comedy alienation separation loss,positive,1727
unique niche self critical behind scene navel gazing kaufman carved orleans story infinite insecurity work outstanding originality,positive,1728
real star movie score song translate well film really well directed,positive,1729
plot weave u complex web,positive,1730
brave attempt tap heartbeat world salute universal language rhythm zippy sampling sound,positive,1731
message compassion mercy clearly squarely specifically expounded via computer animated old testament tale jonah whale determined fun bouncy energetic musical humor quite engage adult,negative,1732
making tragedy backdrop love story risk trivializing though chouraqui doubt intended film affirm love power help people endure almost unimaginable horror,positive,1733
absolutely amazing first time director kevin donovan managed find something new add canon chan make chan action sequence boring,negative,1734
remarkable epic scope startling intimacy achieves despite breadth,positive,1735
vividly conveys pitfall pleasure top love,positive,1736
monumental achievement practically every facet inept filmmaking joyless idiotic annoying heavy handed visually atrocious often downright creepy,negative,1737
lot tooth roger dodger nice casual intelligence permeates script,positive,1738
another entertaining romp robert rodriguez,positive,1739
picture primer happens lack know mix lack give damn,negative,1740
garcia actor help make wobbly premise work,positive,1741
frenetic spectacle tv show usually leavened charm conspicuously missing girl big screen blowout,negative,1742
energetic stunt sequence briefly enliven film wheezing terrorist subplot stamen minute running time protagonist bohemian boorishness mar spirit good clean fun,negative,1743
experience engrossing like buried new environment,positive,1744
crime matter le character although filmmaker supply enough complication close call double cross satisfy u,positive,1745
riddled unanswered question requires gargantuan leap faith watch plod along,negative,1746
banal predictable,negative,1747
amusing breezily apolitical documentary life campaign trail,positive,1748
mr polanski element alone abandoned still consoled art ever revealed source spiritual survival,positive,1749
cockettes provides window subculture hell bent expressing every way imaginable,positive,1750
pleasure read lip like seeing series perfect black pearl clicking together form string drawn dark luster,positive,1751
plot plastered one hollywood cliche another involve precocious kid getting better obnoxious adult,negative,1752
left visceral sensation longing lasting trace charlotte web desire desperation,positive,1753
nonchalantly freaky uncommonly pleasurable warm water may well year best unpredictable comedy,positive,1754
represents better average movie making demand dumb distracted audience,positive,1755
return never land may another shameless attempt disney rake dough baby boomer family half bad,positive,1756
little better sorcerer stone,positive,1757
interest new singular sort film experience find time well worth time,positive,1758
really count bloody sunday connects visceral level transcends language,positive,1759
imagine susan sontag falling love howard stern,negative,1760
apallingly absurd chemistry lack thereof newton wahlberg could turn imax theater black white portable tv,negative,1761
ltimo suspeito ganha ao tamb funcionar em uma esfera adicional drama familiar,positive,1762
sometimes interesting remake compare brilliant original,negative,1763
seem impossible make serial killer jeffrey dahmer boring,negative,1764
tell story flat manner leaf impression gotten,negative,1765
good looking ultimately pointless political thriller plenty action almost substance,negative,1766
shallow noisy pretentious,negative,1767
schneidermeister makin fool losin fan base,negative,1768
striking largely celebratory film sense isolation permeates bastion individuality ikea world,positive,1769
script high squaddie banter low shock,negative,1770
adored full monty resoundingly dying see old thing tired old setting keep reasonably entertained,negative,1771
release ron howard apollo imax format prof absolutely really really really good thing come enormous package,positive,1772
comedy death smoochy rancorous curiosity movie without apparent audience,negative,1773
film run equal part innocence wisdom wisdom come experience fun grown,positive,1774
black white unrealistic,negative,1775
familiar tale one told countless filmmaker italian chinese irish latin indian russian hyphenate american young men struggling balance conflicting cultural message,negative,1776
polished korean political action film good bad hollywood action epic progress,positive,1777
admire film harsh objectivity refusal seek tear sympathy,positive,1778
great subject movie hollywood squandered opportunity using prop warmed melodrama kind choreographed mayhem director john woo built career,negative,1779
barney created tour de force weird wacky wonderful,positive,1780
one definitely one skip even horror movie fanatic,negative,1781
nicely detailed world pawn bishop king wager dingy backroom pristine forest,positive,1782
comedy funny action movie thrilling uneasy alliance,negative,1783
balkan provide obstacle course love good woman,negative,1784
opaque self indulgent plain goofy excuse movie imagine,negative,1785
cal unpleasantly shallow immature character spend claustrophobic minute,negative,1786
basic premise intriguing quickly becomes distasteful downright creepy,negative,1787
original little film one young woman education,positive,1788
performance strong though subject matter demand acting border hammy time,positive,1789
mark non believer werewolf film serious rely stupidity substitute humor,negative,1790
whole thing play like tired tyco ad,negative,1791
seeing film lack momentum position remains mostly undeterminable director experiment successful one,negative,1792
forgettable horror gory psychological highly satisfying quotient friday night excitement milla power,positive,1793
coming age tale new zealand whose boozy languid air balanced rich visual clarity deeply felt performance across board,positive,1794
though well shot composed edited score insistent dialogue frequently overwrought crudely literal film shatters wave,positive,1795
movie ultimately relies bit heavily grandstanding emotional rocky like moment warm charming package feel happy argue much,positive,1796
opinion analyze funny entertaining analyze respectable sequel,positive,1797
techno tux good laugh chan hewitt good design turn cheap knockoff recommend anything rental tuxedo,negative,1798
even never heard chaplin still glued screen,positive,1799
flawed worthy look life u relocation camp,positive,1800
much written year psychedelic grooved gay word really era justice see,positive,1801
enjoy hate later,positive,1802
major waste generic,negative,1803
time learned hard way complex international terrorism collateral damage paint absurdly simplistic picture,negative,1804
say liked homeboy accurate say found intriguing bizarre dogma like spot quite truthful way,positive,1805
story simply putter along looking astute observation coming blank,negative,1806
real world actor uncharismatically beautiful would r sum loaded credit like girl bar,negative,1807
simmering psychological drama burst sudden violence startling slow buildup preceded,positive,1808
squandering opportunity make absurdist observation burn get caught rush slapstick thoroughfare,negative,1809
one unassuming film sneak stay long left theatre,positive,1810
drab uninteresting squanders chan uniqueness could even said squander jennifer love hewitt,negative,1811
watching harris ham physically emotionally disintegrating course movie certain poignancy light recent death boyd film offer little else consequence,negative,1812
e la mejor cinta de la serie ni la mejor con brosnan la cabeza pero de que entretiene ni duda cabe,positive,1813
much successful translation famous previous film adaptation writer director anthony friedman similarly updated british production,positive,1814
saw tv probably turn convinced already seen movie,negative,1815
despite auteuil performance rather listless amble middle road thematic irony obvious sexual politics smug,negative,1816
woody allen latest ambling broad comedy love hate movie biz,positive,1817
kwan master shadow quietude room noise lan yu disarmingly lived movie,positive,1818
almost spectacular coastal setting distracts slightly eccentric good naturedly aimless story,positive,1819
could looked future saw bad movie would go back choose skip fortunately still option,negative,1820
terrific bewilderingly underrated campbell scott give star performance nothing short mesmerizing,positive,1821
tightly directed highly professional film old fashioned best possible way,positive,1822
sent copyof film review dvd free still want money back,negative,1823
basic cartoon adventure wind hair exhilarating,positive,1824
delivers old old tarted latin flava turned hollywood playas,negative,1825
glorious spectacle like w griffith made early day silent film,positive,1826
fairy tale come renowned indian film culture allows american finally revel splendor,positive,1827
close phantom menace comfort,negative,1828
color sense stuart little immediate obvious pleasure would count little movie beautifully shaped delicately calibrated tone,positive,1829
legendary shlockmeister ed wood ever made movie vampire probably would look lot like alarming production adapted anne rice novel vampire chronicle,negative,1830
start bang fizzle like wet stick dynamite end still worth look,positive,1831
steamy last week pork dumpling,negative,1832
like bizarre heroine irrigates soul,positive,1833
case would recommend big bad love winger fan missed since forget paris even recommend waiting dvd skipping straight scene,negative,1834
excruciating demonstration unsalvageability movie saddled amateurish screenplay,negative,1835
sour attempt making farrelly brother style dirty laugher female set,negative,1836
poignant gently humorous parable love character communicates something rather beautiful human nature,positive,1837
powerful success read lip provocative material show three film director co writer jacques audiard though little known country belongs top rank french filmmaker,positive,1838
like old myth wonder tale spun afresh,positive,1839
superbly acted funny gritty fable humanizing one woman hand unseen force fate,positive,1840
although includes fair share dumb drug joke predictable slapstick orange county far funnier would seem right,positive,1841
unfaithful cheat retreat comfortable territory bad,negative,1842
novak contemplates heartland overwhelmed lack purpose seek excitement manufactured high drama,negative,1843
come away wishing though movie spent lot le time trying make credible case report afterlife lot time romantic urgency center story,negative,1844
liked film lot,positive,1845
chabrol taken promising material black comedy turned instead somber chamber drama,negative,1846
film big gorgeous mind blowing breath taking mess,positive,1847
case pregnant premise wasted script take chance manages insult intelligence everyone audience,negative,1848
red dragon make one appreciate silence lamb,positive,1849
thirsty consuming passion drive movie repetition said behavior child century mindless love mad grating boring anything else,negative,1850
hey arnold movie could made year ago parent appreciation may depend whether consider good thing,negative,1851
pap invested undergraduate doubling subtexts ridiculous stab existentialism reminding discovery wizard god fifth trek flick,negative,1852
waydowntown manages nail spirit crushing ennui denuded urban living without giving,positive,1853
jagger actor someone want see,positive,1854
remake number linking halfwit plot series standup routine wilson murphy show funny could ambitious movie,negative,1855
master disguise run minute feel like three hour,negative,1856
film delivers full assault reno immense wit insight time travel back felt like unforgettably uncertain day,positive,1857
inspirational screenplay mike rich cover lot ground perhaps much tie thing together neatly end,positive,1858
whereas last year exemplary sexy beast seemed revitalize british gangster movie equally brutal outing merely sustains,negative,1859
big meal cliche talented cast generally choke,negative,1860
generally huge fan cartoon derived tv show hey arnold movie clever offbeat even gritty enough overcome resistance,positive,1861
movie quickly drag becoming boring predictable tried read time watch,negative,1862
whenever threatens get bogged earnest dramaturgy stirring visual sequence like surge swirling rapid leap pinnacle pinnacle rous u horse could fly surely look like,positive,1863
since freddy got fingered major release painful sit,negative,1864
spunky original take theme resonate single many age,positive,1865
rollicking adventure mateys regardless age,positive,1866
compassionately explores seemingly irreconcilable situation conservative christian parent estranged gay lesbian child,positive,1867
taken whole tuxedo add whole lot,negative,1868
obscured booming bass heavy soundtrack conversation present kind linguistic fumbling heard since macy gray game chinese whisper mr bean,negative,1869
another trumpet blast may new mexican cinema bornin,positive,1870
addicted film violence form find anything appreciate,negative,1871
manages squeeze angelina jolie surprising flair self deprecating comedy,positive,1872
mcconaughey entirely irony free zone bale reduced mainly batting sensitive eyelid enough intelligence wit innovation screen attract sustain older crowd,negative,1873
mystery movie could released condition,negative,1874
best good girl refreshingly adult take adultery,positive,1875
soupy end result odd distinction playful without fun,negative,1876
play like john le carr couple burnt cylinder,negative,1877
fragile framework upon hang broad mildly fleshed character seem conjured minute prior filming,negative,1878
movie blatant derivativeness one reason lackluster,negative,1879
troubling powerful,positive,1880
work never sure ohlinger level merely dying delusional man trying get history book croak,positive,1881
movie prescribed recommended visually bland dentist waiting room complete soothing muzak cushion predictable narrative rhythm,negative,1882
footage rapper play prison interview suge knight two element grab,positive,1883
although several truly jolting scare also abundance hackneyed dialogue silly satanic business shake severed limb,negative,1884
like excruciating end day collateral damage present schwarzenegger tragic figure sympathy really belongs viewer forced watch try many complicated facial expression,negative,1885
one film character inhabit special annex hell adult behave like kid child behave like adult everyone scream top lung matter situation,negative,1886
part stevens glide solid performance witty dialogue,positive,1887
mix velocity idiocy ruinous remake lack brawn brain original,negative,1888
zany exuberantly irreverent animated space adventure,positive,1889
exhilarating futuristic thriller noir minority report twist best technology around gripping story delivering riveting pulse intensifying escapist adventure first order,positive,1890
suffers familiarity since hit hungry british filmmaker strip mined monty formula mercilessly since,negative,1891
generically forgettably pleasant start finish,negative,1892
could whole plan produce something make fatal attraction look like classic comparison sane rationale think swimfan existence,negative,1893
forage audience sympathy like temperamental child begging attention giving audience reason truly care decrepit freak beyond promise reprieve incessant whining,negative,1894
story far flung illogical plain stupid,negative,1895
mean much played skewed ever get hold entertained,negative,1896
time reach finale likely wondering watching strutting posturing,negative,1897
ill conceived jumble scary smart engaging,negative,1898
second chapter harry potter series even magical first simply best family film year,positive,1899
come family eats meddles argues laugh kibbitzes fight together go see delightful comedy,positive,1900
though impostor deviously adopts guise modern motion picture bomb,negative,1901
complex affecting uniquely almod var film evokes strong emotion push viewer question deepest notion moral right wrong,positive,1902
star producer salma hayek director julie taymor infused frida visual style unique inherent titular character painting process created masterful work art,positive,1903
without non stop techno existential overtone kieslowski morality tale maelstr another winter sleeper,negative,1904
film becomes overwhelming pleasure find rooting gai character avoid fate befallen every carmen,positive,1905
could love safe conduct laissez passer subtitled french movie minute long could hate reason,positive,1906
apart considerable achievement metropolis confirms tezuka status primary visual influence anim tradition defining philosophical conscience,positive,1907
movie album want miss,positive,1908
monster combat thriller impersonal relentlessness videogame series inspired,negative,1909
experience understanding unique culture presented universal appeal,positive,1910
guiltless film nice evening,positive,1911
choke depiction upper crust decorum,negative,1912
terrific performance great look funny little uneven cat meow good enough purr,positive,1913
oddly compelling,positive,1914
movie plain old monster,negative,1915
gentle blend present day testimonial surviving footage burstein family performing historical archive telling still,positive,1916
riveting documentary,positive,1917
although much like first movie based j k rowling phenomenal fantasy best seller second go round posse quite pleasing headlong thrust likably delinquent attitude,positive,1918
funny enjoyable,positive,1919
lot like imaginary sport project onto screen loud violent mindless,negative,1920
barrel along start becoming mired sentimentality,negative,1921
one year best film,positive,1922
eight legged freak clever funny amused special effect leaf feeling like seen movie instead endless trailer,positive,1923
count monte cristo transform caviezel movie star game even rigged two century ago,positive,1924
gaghan capture half lit sometimes creepy intimacy college dorm room subtlety make silly top coda especially disappointing,negative,1925
push slow spot rewarded fine acting,positive,1926
leading double life american film come good matter play realistically always fairly,positive,1927
story old scary one monster make vengeance take,positive,1928
distance picture provides satisfyingly unsettling ride dark place national psyche,positive,1929
girl gone wild video boho art house crowd burning sensation definitive counter cultural document maker removed inquisitive enough,negative,1930
poignant moving walk remember inspirational love story capturing innocence idealism first encounter,positive,1931
get old quickly watch barbershop need cube fix worth sitting,negative,1932
testament film considerable charm succeeds entertaining despite playing like feature length sitcom replete stereotypical familial quandary sheer unbridled delight way story unfurls,positive,1933
animation landmark monumental disney breakthrough snow white seven dwarf,positive,1934
depicts sorriest sordid human behavior screen laugh clever,negative,1935
importance earnest thick wit play like reading bartlett familiar quotation,positive,1936
superior horror flick,positive,1937
go see enjoy,positive,1938
first men black money second small change still jingle pocket fun lite,positive,1939
feature length r rated road trip version mama family,negative,1940
delia greta paula rank three multilayered sympathetic female character year search place world miller dig mind find unblinking flawed humanity,positive,1941
man elysian field doomed smallness also elevated kind movie enjoy one lucky sought,positive,1942
obviously extremely personal work remains inextricably stuck emotionally unavailable rut,negative,1943
birot directorial debut co wrote script christophe honor much bad bland,negative,1944
ritchie treatment class reversal majorly ham fisted repetitive manifesto keep getting thrown people face fact amber joke,negative,1945
refreshing change self interest paranoia shape american representation castro,positive,1946
begin like docu drama build multi character story flourish,positive,1947
tuxedo actually suit would fit chan like bargain basement special,negative,1948
plot paper thin character interesting enough watch go daily activity two whole hour,negative,1949
director carl franklin crisp economical one false move bog genre cliche,negative,1950
may burn strongest film since brother mcmullen,positive,1951
first attempt film noir spielberg present fascinating flawed look near future,positive,1952
even tale seven child seem time many although reality enough every child story matter film point way thank goodness signpost,positive,1953
made realize really good cheesy b movie playing theater since well since last week reign fire,negative,1954
even push agenda forcefully remains film something one attempt often achieves level connection concern,positive,1955
subtle poignant picture goodness flawed compromised sad,positive,1956
brown sugar admirably aspires another best man clone weaving theme throughout funny film,positive,1957
terrific casting solid execution give three story life,positive,1958
movie fall victim frazzled wackiness frayed satire,negative,1959
script gag character direct video stuff film remained,negative,1960
steeped sociology pop culture movie lore appreciate emotional depth haynes work though haynes style ape film period message rooted decade,positive,1961
enthralling playful film constantly frustrates desire know truth man deconstructing format biography manner derrida would doubtless give blessing,positive,1962
maybe past year seen release worst film comedy decade honestly analyze really bad,positive,1963
director george hickenlooper success documentary sense story juvenile camera movement smack film school undergrad maudlin ending might gotten film school first place,negative,1964
dubious product college spawned colgate u comedy ensemble known broken lizard play like mix cheech chong chip,negative,1965
engrossing story combine psychological drama sociological reflection high octane thriller,positive,1966
unlikable uninteresting unfunny completely utterly inept,negative,1967
script fall back many tried true shenanigan hardly distinguish next teen comedy,negative,1968
remarkably accessible affecting,positive,1969
oscar wilde masterpiece importance earnest may best play th century good relentless polished wit withstand inept school production even oliver parker movie adaptation,positive,1970
movie le charitable might describe castrated cross highlander lolita,negative,1971
uneven mix dark satire childhood awakening,negative,1972
may cutting witty true back glory day weekend two three thing know else engaged filmmaking today cognizant cultural moral issue involved process,positive,1973
dragonfly atmosphere tension nothing costner flailing away buggy drag,negative,1974
empty ugly exercise druggy trance noir trumped street credibility,negative,1975
remake get get peculiar premise promise al pacino loathing robin williams,positive,1976
large format film well suited capture musician full regalia incredible imax sound system let feel beat toe,positive,1977
gob drivel sickly sweet even eager consumer moore pasteurized ditty retch like rancid cr br l e,negative,1978
la de salma e una versi n de frida superficial preciosista sin ning n contenido,negative,1979
offer audience way gripping point even attitude toward subject,negative,1980
big fat greek wedding us stereotype delightful blend sweet romance lovingly dished humor,positive,1981
credit director ramsay taking sometimes improbable story making feel realistic,positive,1982
tuxedo minute screen time one true chan moment,negative,1983
become apparent franchise best year long past,negative,1984
try may think single good reason see movie even though everyone group extemporaneously shouted thank leguizamo finally plugged irritating character late movie,negative,1985
nervous breakdown entertaining,negative,1986
formula familiar enjoyable,positive,1987
way home ode unconditional love compassion garnered year seeing condition old privy often misconstrued weakness,positive,1988
think movie probably like,positive,1989
bonanza wacky sight gag outlandish color scheme corny visual pun appreciated equally abstract frank tashlin comedy playful recapitulation artist career,positive,1990
compellingly watchable,positive,1991
dense character contains thrilling moment,positive,1992
adam sandler eight crazy night grows like rash,negative,1993
one hour photo intriguing snapshot one man delusion bad flash insight,positive,1994
overall film feel like low budget tv pilot could find buyer play tube,negative,1995
film move one way honest effort want see flick telemarketers one due,negative,1996
purposefully shocking eroticized gore unintentionally dull lack poetic frisson,negative,1997
original highly cerebral examination psychopathic mind,positive,1998
film neither bitter sweet neither romantic comedic neither warm fuzzy,negative,1999
silly stuff mixed together like term paper kid quite distinguish one sci fi work another,negative,2000
happily mr chin though unhappily subject invisible hand marketplace wrote script human screenwriter could hoped match,positive,2001
morton usual brilliant,positive,2002
part useless movie even great director helm,negative,2003
film sort cinematic high crime one brings military courtroom drama low,negative,2004
whale good time child parent seeking christian themed fun,positive,2005
one decent performance cast one clever line dialogue,negative,2006
really advantage invest subtlety warmth animatronic bear human acting like puppet,negative,2007
faithful enjoy sometimes wry adaptation v naipaul novel newcomer may find stifling yawn two first hour,positive,2008
one year weirdly engaging unpredictable character piece,positive,2009
generic bloodbath often becomes laughably unbearable merely offensive,negative,2010
really bad might think,negative,2011
oddly film nearly downbeat sound strike tone alternately melancholic hopeful strangely funny,positive,2012
although huppert intensity focus raw exhilaration piano teacher anything fun,negative,2013
take beauty baseball meld story could touch anyone regardless familiarity sport,positive,2014
know music appreciate film easygoing blend comedy romance,positive,2015
may dumbest sketchiest movie record aspiring writer coming age,negative,2016
make movie depth man lacked evidence u answer clear easily end well enough,negative,2017
junk food cinema greasiest,negative,2018
rifkin doubt fancy something hubert selby jr ounce honest poetry entire script simply crude unrelentingly exploitative,negative,2019
enormously enjoyable high adrenaline documentary,positive,2020
fairly self aware dumbness,positive,2021
good movie good actress expect light romantic comedy good gosh shocked,positive,2022
pace film slow obvious reason becomes putting,negative,2023
history fascinating action dazzling work concert,positive,2024
worth effort watch,positive,2025
sequence ridiculous shoot em scene,negative,2026
work smoothly direction spielberg convincing impersonation director enjoying immensely,positive,2027
video work grainy rough dependent naturalistic rather carefully lit set exhausting watch,negative,2028
bad likable movie accomplished actor try hard come amateurish awkward,negative,2029
earnest well meaning stocked talent almost forget sheer ponderous awfulness script,negative,2030
land people narrative flow together stark portrait motherhood deferred desire explored,positive,2031
director mostly play straight turning ley fable listless climb social ladder,negative,2032
superior genre storytelling get skin simply crossing nuclear line,positive,2033
abiding impression despite mild hallucinogenic buzz overwhelming waste acre haute couture quite conceal nothing resembling spine,negative,2034
essential problem orange county created unusually vivid set character worthy strong cast film flounder come giving something,negative,2035
may huge cut rest enjoyed barbershop funny little movie clever dialogue likeable character,positive,2036
sweet home alabama nice harmless date film,positive,2037
eighth grade girl likely doze one,negative,2038
kosminsky put enough salt wound tortured self conscious material make sting,positive,2039
comedy troupe broken lizard first movie funny concerned giving u plot,negative,2040
scorsese best make gangster film equally lovely also relentlessly brutal brutally intelligent perdition meanwhile read like driving miss daisy goodfellas,negative,2041
movie eventually snap strain plot contrivance need reassure,negative,2042
element really blow big one part decent,negative,2043
cage make unusual pleasantly haunting debut behind camera,positive,2044
everything work average higher mary recent comedy,positive,2045
talking head documentary great one,positive,2046
canadian filmmaker gary burn inventive mordantly humorous take soullessness work city,positive,2047
great character interaction,positive,2048
british flick gleefully unconcerned plausibility yet determined entertain,positive,2049
transporter bombard viewer many explosion side snap kick end surprisingly dull,negative,2050
eternally devoted insanity black intermittently good time feel free go get popcorn whenever onscreen,negative,2051
skip dreck rent animal house go back source,negative,2052
haynes homage film heaven allows imitation life transcends simply put far heaven masterpiece,positive,2053
success undercover brother found ability spoof black white stereotype equally,positive,2054
labute avoid fatal mistake modern era changed male academic lower class brit american choice upset novel exquisite balance shred fabric film,negative,2055
sweetly affecting story four sister coping one way another life endgame,positive,2056
lejos del para e al mismo tiempo una fiesta para los ojos do un movilizador cuadro de personajes enfrentados sus propios deseos miedos prejuicios,positive,2057
succeeds well made evocation subculture,positive,2058
would great see turd squashed truck preferably semi,negative,2059
movie humorous watching favorite pet get buried alive,negative,2060
problem film even oscar winner overcome nice girl buddy movie get rock n rolling,positive,2061
occasionally funny overall limp fish water story,negative,2062
u debut mr schnitzler prof deft pace master stylist,positive,2063
intriguing entertaining introduction johnson,positive,2064
heartbreakingly thoughtful minor classic work genuine singular artist,positive,2065
wanker goth loose run life,negative,2066
performance immaculate roussillon providing comic relief,positive,2067
underlying old world sexism monday morning undercut charm,positive,2068
hoot watching rock chomp jumbo ant pull arrow back leap unscathed raging fire,positive,2069
tiresomely derivative hammily acted,negative,2070
dolorous trim secretary genial romance maintains surprisingly buoyant tone throughout notwithstanding writer sporadic dip pop freudianism,positive,2071
amidst action script carry arnold viewer forbidden zone sympathizing terrorist motivation presenting side story,negative,2072
epic put together,negative,2073
movie generate lot energy dark brooding slow take central idea way seriously,negative,2074
character cast impossibly contrived situation totally estranged reality,negative,2075
chouraqui brings documentary like credibility horror killing field barbarism ethnic cleansing,positive,2076
appealingly juvenile trifle delivers share laugh smile,positive,2077
nicely handled affair film human darkness etched light yet unsentimental touch,positive,2078
got house full tot worry video long grow wait till,negative,2079
movie seam may show pellington give mothman irresistibly uncanny ambience go long way toward keeping picture compelling,positive,2080
interested jerking byzantine incarnation bother pleasuring audience,negative,2081
film contains good joke good scene barely moment carvey saturday night live honed mimicry rise level embarrassment,negative,2082
little le extreme past longer exposition sequence fewer gag break tedium,negative,2083
normally rohmer talky film fascinate move setting past relies historical text loses richness characterization make film memorable,negative,2084
kurys seems intimidated subject matter period trapping debut venture heritage business,negative,2085
people march beat different drum ever wondered kind house people live documentary take look alternative housing option,positive,2086
jason patric ray liotta make one splendidly cast pair,positive,2087
still comic book maguire make comic book soul,positive,2088
despite modest aspiration occasional charm dismissed,positive,2089
going website may fun scary going film,negative,2090
humor recognizably plympton actually bothered construct real story time,positive,2091
smart alert thirteen conversation one thing small gem,positive,2092
mimetic approximation better film like contempt,negative,2093
adolescent adequately served movie sophomoric blend shenanigan slapstick although lascivious minded might disappointed relative modesty movie sport topless tutorial service,negative,2094
crime go writer director michael kalesniko kill neighbor dog slight unendurable,negative,2095
adrift bentley hudson stare sniffle respectively ledger attempt vain prove movie star intensity overcome bad hair design,negative,2096
lot virtue eastwood best,positive,2097
bland fustily tasteful truly prurient,negative,2098
incredibly low rent danish film brings group people together sweet charming way little convenient,positive,2099
uplifting document worst possibility mankind among best film year,positive,2100
para hitler mundo era sua tela e horror seu pincel e max retrata este fato com elegante abandono numa triste constata da realidade hist rica,positive,2101
subtitled costume drama set remote african empire cell phone gun internal combustion engine politics thump timely tomorrow,positive,2102
film desperately sink comedy futility,negative,2103
may dover kosashvili feature directing debut look awful lot like life gritty awkward ironic,positive,2104
heavy handed exercise time vaulting literary pretension,negative,2105
generous inspiring film unfolds grace humor gradually becomes testament faith,positive,2106
rapidly develops gut wrenching examination way cultural difference emotional expectation collide,positive,2107
human nature goofball movie way malkovich try hard,negative,2108
polished vastly entertaining caper film put sting back con,positive,2109
comedy make social commentary palatable,positive,2110
kiss want desperately come fanciful film typical problem average people set world far one u inhabit,negative,2111
say hi lover wake morning,negative,2112
exactly worth buck expend full price date come video well worth rental,negative,2113
grant get display cadness perfection also show acting range may surprise thought light hearted comedy forte,positive,2114
generates enormous feeling empathy character,positive,2115
scatological action crazy night proctologist apt encounter entire career,negative,2116
way sort mess head deconstruct went wrong hour half daydreaming,negative,2117
exactly sure movie think,negative,2118
lohman film performance move heartbreak rebellion continually try accommodate fit gain unconditional love seek,positive,2119
generation x artifact capturing brief era insanity sport arena surely cannot last,positive,2120
spiderman rock,positive,2121
wasabi slight fare indeed entire project feel something tossed quickly like one hubert punch go smoothly enough popcorn,negative,2122
moving important film,positive,2123
one sided documentary offer simplistic explanation complex situation stylistically movie disaster,negative,2124
punch drunk love little like chocolate milk moustache,positive,2125
subtle well crafted part chiller,positive,2126
movie essentially series fleetingly interesting actor moment,negative,2127
film message tolerance diversity particularly original one help drawn sympathetic character,positive,2128
actor fantastic make worth trip theatre,positive,2129
soap opera quality twist last minute almost put kibosh otherwise sumptuous work b movie imagination,positive,2130
shrill soporific everything repeated five six time seem tiresomely simpleminded,negative,2131
masterfully calibrated psychological thriller thrives taut performance creepy atmosphere even screenplay fall somewhat short,positive,2132
film captured chaos urban conflagration fury audience member leave feeling shaken nesbitt cooper look bullet stop flying,positive,2133
taylor take u ride consistently surprising easy watch oh dumb,negative,2134
skill calculus major required balance formulaic equation long winded heist comedy cletis tout,negative,2135
whole mildly pleasant outing r rating brief nudity grisly corpse remains aloft self referential hot air inspired performance tim allen,positive,2136
lovely beautifully photographed romance,positive,2137
win vote enemy cinema award,negative,2138
retooled genre piece tale guy gun amiably idiosyncratic work,positive,2139
involving true story chinese actor take drug wind institution acted mostly actual people involved,positive,2140
would take complete moron foul screen adaptation oscar wilde classic satire,positive,2141
full profound real life moment anyone relate deserves wide audience,positive,2142
metaphor modern day urban china searching identity,positive,2143
bittersweet comedy drama full life hand gesture really adorable italian guy,positive,2144
smart funny look arcane area popular culture entirely persuasive give exposure talented performer,positive,2145
missing script even elemental literacy inkling genuine wit anything resembling acting,negative,2146
movie quiet affirmation neighborhood value give honest lived glow,positive,2147
shoot out fistfight car chase movie phlegmatic bore tedious make silly spy v spy film sum fear starring ben affleck seem downright hitchcockian,negative,2148
devos delivers perfect performance capture innocence budding demon within wallflower,positive,2149
sometimes nothing satisfies like old fashioned swashbuckling regard guard delivers,positive,2150
kim ki deok seems mind emotionally least adolescent audience demanding regular shock bout barely defensible sexual violence keep interested,negative,2151
expect subtlety latest entry increasingly threadbare gross comedy cycle,negative,2152
engagingly primitive animated special effect contribute mood sustained surprisingly somber conclusion,positive,2153
irwins scene fascinating movie whole cheap junk insult death defying effort,negative,2154
contains big laugh many graze funny bone miss altogether part consciously dumbed approach wear thin,negative,2155
fine movie go see,positive,2156
achingly enthralling premise film hindered uneven dialogue plot lapse,negative,2157
irwin director never come adequate reason pay money get television free,negative,2158
trite psychological thriller designed keep audience guessing guessing confused suspecting come time wrap thing send viewer home,negative,2159
earnest heavy handed,negative,2160
incompet ncia de marcus adam como roteirista superada por sua p ssima dire,negative,2161
like real film nijinsky least better eponymous biopic used soap place mystery lingered,positive,2162
eric schaeffer accomplished never may strictly speaking qualify revolutionary defiantly delightfully grain,positive,2163
refreshing see romance smart,positive,2164
judge one soon dark gritty story take totally unexpected direction keep going,positive,2165
familiar rise fall tale long glamour short larger moralistic consequence though told sharp ear eye tenor time,positive,2166
much nemesis tired talky feel,negative,2167
brooding quality ash wednesday suspenseful ultimately unpredictable sterling ensemble cast,positive,2168
jaglom put audience privileged position eavesdropping character,positive,2169
subject illusion versus reality reality seem least passably real,negative,2170
astonishingly skillful moving could become historically significant work well masterfully made one,positive,2171
made deftly unsettling genre flair,positive,2172
unlike teen flick swimming take time tell story cast mostly little known performer key role introduces intriguing ambiguity,positive,2173
great ending make weak movie crazy hell even great ending,negative,2174
journey difficult audience take protagonist yet potentially rewarding,positive,2175
value time money find escape clause avoid seeing trite predictable rehash,negative,2176
like quirky slightly strange french film must,positive,2177
